channel_index,event_index,event_time,event_score,coda_index,coda_time,windows
47,5759,2021-11-29T08:35:27.600000,0.963,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
48,5759,2021-11-29T08:35:27.600000,0.927,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
49,5759,2021-11-29T08:35:27.600000,0.947,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
50,5759,2021-11-29T08:35:27.600000,0.987,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
51,5759,2021-11-29T08:35:27.600000,0.992,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
52,5759,2021-11-29T08:35:27.600000,0.984,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
53,5759,2021-11-29T08:35:27.600000,0.97,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
54,5759,2021-11-29T08:35:27.600000,0.974,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
55,5759,2021-11-29T08:35:27.600000,0.965,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
56,5759,2021-11-29T08:35:27.600000,0.978,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
57,5759,2021-11-29T08:35:27.600000,0.889,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
58,5759,2021-11-29T08:35:27.600000,0.91,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
59,5759,2021-11-29T08:35:27.600000,0.877,9600,2021-11-29T08:36:06,"[12, 13, 14, 15, 16, 17, 18, 19]"
60,5759,2021-11-29T08:35:27.600000,0.98,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
61,5759,2021-11-29T08:35:27.600000,0.99,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
62,5759,2021-11-29T08:35:27.600000,0.937,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
63,5759,2021-11-29T08:35:27.600000,0.963,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
64,5759,2021-11-29T08:35:27.600000,0.946,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
65,5759,2021-11-29T08:35:27.600000,0.982,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
66,5759,2021-11-29T08:35:27.600000,0.986,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
67,5759,2021-11-29T08:35:27.600000,0.963,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
68,5759,2021-11-29T08:35:27.600000,0.986,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
69,5759,2021-11-29T08:35:27.600000,0.975,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
70,5759,2021-11-29T08:35:27.600000,0.997,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
71,5759,2021-11-29T08:35:27.600000,0.998,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
72,5759,2021-11-29T08:35:27.600000,0.998,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
73,5759,2021-11-29T08:35:27.600000,0.995,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
74,5759,2021-11-29T08:35:27.600000,0.98,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
75,5759,2021-11-29T08:35:27.600000,0.959,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
