channel_index,event_index,event_time,event_score,coda_index,coda_time,windows
0,7200,1970-01-01T00:01:12,1.0,9120,1970-01-01T00:01:31.200000,"[15, 16, 17, 18]"
0,10080,1970-01-01T00:01:40.800000,0.741,10560,1970-01-01T00:01:45.600000,[21]
1,7200,1970-01-01T00:01:12,0.938,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
2,7200,1970-01-01T00:01:12,0.985,9120,1970-01-01T00:01:31.200000,"[15, 16, 17, 18]"
3,7200,1970-01-01T00:01:12,0.99,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
4,7200,1970-01-01T00:01:12,0.989,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
5,7200,1970-01-01T00:01:12,0.998,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
6,7200,1970-01-01T00:01:12,0.999,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
7,7200,1970-01-01T00:01:12,1.0,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
8,7200,1970-01-01T00:01:12,1.0,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
9,7200,1970-01-01T00:01:12,0.998,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
10,7200,1970-01-01T00:01:12,0.836,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
11,7200,1970-01-01T00:01:12,0.997,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
12,7200,1970-01-01T00:01:12,1.0,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
13,7200,1970-01-01T00:01:12,0.999,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
14,7200,1970-01-01T00:01:12,0.981,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
15,7200,1970-01-01T00:01:12,0.998,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
16,7200,1970-01-01T00:01:12,0.987,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
17,7200,1970-01-01T00:01:12,1.0,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
18,7200,1970-01-01T00:01:12,1.0,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
19,7200,1970-01-01T00:01:12,1.0,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
20,7200,1970-01-01T00:01:12,0.92,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
21,7200,1970-01-01T00:01:12,0.843,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
22,7200,1970-01-01T00:01:12,0.954,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
23,7200,1970-01-01T00:01:12,0.877,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
24,7200,1970-01-01T00:01:12,0.86,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
25,7200,1970-01-01T00:01:12,0.966,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
26,7200,1970-01-01T00:01:12,0.832,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
27,7200,1970-01-01T00:01:12,0.83,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
28,7200,1970-01-01T00:01:12,0.893,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
29,7200,1970-01-01T00:01:12,0.899,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
30,7200,1970-01-01T00:01:12,0.937,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
31,7200,1970-01-01T00:01:12,0.938,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
32,7200,1970-01-01T00:01:12,0.963,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
33,7200,1970-01-01T00:01:12,0.997,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
34,7200,1970-01-01T00:01:12,0.986,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
35,7200,1970-01-01T00:01:12,0.856,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
36,7200,1970-01-01T00:01:12,0.929,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
37,7200,1970-01-01T00:01:12,0.934,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
38,7200,1970-01-01T00:01:12,0.899,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
39,7200,1970-01-01T00:01:12,0.997,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
40,7200,1970-01-01T00:01:12,0.999,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
41,7200,1970-01-01T00:01:12,0.967,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
42,7200,1970-01-01T00:01:12,0.999,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
