channel_index,event_index,event_time,event_score,coda_index,coda_time,windows
67,7200,1970-01-01T00:01:12,0.999,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
68,7200,1970-01-01T00:01:12,0.924,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
69,7200,1970-01-01T00:01:12,0.991,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
70,7200,1970-01-01T00:01:12,0.845,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
71,7200,1970-01-01T00:01:12,0.89,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
72,7200,1970-01-01T00:01:12,0.863,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
73,7200,1970-01-01T00:01:12,0.886,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
74,7200,1970-01-01T00:01:12,0.961,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
75,7200,1970-01-01T00:01:12,0.835,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
76,7200,1970-01-01T00:01:12,0.969,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
77,7200,1970-01-01T00:01:12,0.87,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
78,7200,1970-01-01T00:01:12,0.831,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
79,7200,1970-01-01T00:01:12,0.874,11040,1970-01-01T00:01:50.400000,"[15, 16, 17, 18, 19, 20, 21, 22]"
80,7200,1970-01-01T00:01:12,1.0,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
81,7200,1970-01-01T00:01:12,0.967,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
82,7200,1970-01-01T00:01:12,0.975,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
83,7200,1970-01-01T00:01:12,0.968,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
84,7200,1970-01-01T00:01:12,0.934,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
85,7200,1970-01-01T00:01:12,0.992,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
86,7200,1970-01-01T00:01:12,0.998,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
87,7200,1970-01-01T00:01:12,0.996,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
88,7200,1970-01-01T00:01:12,0.996,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
89,7200,1970-01-01T00:01:12,0.971,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
90,7200,1970-01-01T00:01:12,0.981,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
91,7200,1970-01-01T00:01:12,0.99,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
92,7200,1970-01-01T00:01:12,0.991,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
93,7200,1970-01-01T00:01:12,0.889,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
94,7200,1970-01-01T00:01:12,0.995,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
95,7200,1970-01-01T00:01:12,0.993,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
96,7200,1970-01-01T00:01:12,0.98,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
97,7200,1970-01-01T00:01:12,0.996,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
98,7200,1970-01-01T00:01:12,0.956,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
99,7200,1970-01-01T00:01:12,0.963,10560,1970-01-01T00:01:45.600000,"[15, 16, 17, 18, 19, 20, 21]"
