channel_index,event_index,event_time,event_score,coda_index,coda_time,windows
3487,7200,1970-01-01T00:01:12,0.908,13440,1970-01-01T00:02:14.400000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
3488,7200,1970-01-01T00:01:12,0.904,13440,1970-01-01T00:02:14.400000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
3489,7200,1970-01-01T00:01:12,0.869,13440,1970-01-01T00:02:14.400000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
3490,7200,1970-01-01T00:01:12,0.937,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3491,7200,1970-01-01T00:01:12,0.843,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3492,7200,1970-01-01T00:01:12,0.898,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3493,7200,1970-01-01T00:01:12,0.972,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3494,7200,1970-01-01T00:01:12,0.973,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3495,7200,1970-01-01T00:01:12,0.909,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3496,7200,1970-01-01T00:01:12,0.88,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3497,7200,1970-01-01T00:01:12,0.879,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3498,7200,1970-01-01T00:01:12,0.978,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3499,7200,1970-01-01T00:01:12,0.949,12480,1970-01-01T00:02:04.800000,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3500,7200,1970-01-01T00:01:12,0.969,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3501,7200,1970-01-01T00:01:12,0.964,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3502,7200,1970-01-01T00:01:12,0.972,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3503,7200,1970-01-01T00:01:12,0.908,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3504,7200,1970-01-01T00:01:12,0.943,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3505,7200,1970-01-01T00:01:12,0.902,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3506,7200,1970-01-01T00:01:12,0.906,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3507,7200,1970-01-01T00:01:12,0.944,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3508,7200,1970-01-01T00:01:12,0.964,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3509,7200,1970-01-01T00:01:12,0.934,11999,1970-01-01T00:02:00,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
